Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
10,10.0,0.4993720930232558,0.51,0.5078837209302325,0.47006976744186046,0.42427906976744184,0.4396279069767441,0.05568251270957274,0.06183548837209304,0.05225773066522445,0.06232118117901569,0.06769745700378584,0.05965307084910762,0.45369767441860465,0.40025581395348836,0.513093023255814,0.04567441860465116,0.10974418604651165,0.005209302325581477,43,43,0.7787456872123445,0.7602325581395348,57.7906976744186,86,124
11,11.0,0.506906976744186,0.5100465116279068,0.4947906976744187,0.46736363636363637,0.43215909090909094,0.44563636363636355,0.054248782044348305,0.0618114862087615,0.05175593293672256,0.06121968595041321,0.0688289519628099,0.05984968595041322,0.4499318181818182,0.40759090909090906,0.5241590909090909,0.056975158562367845,0.10245560253699776,0.029368393234672163,43,44,0.7613339803680186,0.7881818181818182,58.2183908045977,87,130
12,12.0,0.4984680851063829,0.5180425531914892,0.510531914893617,0.4619782608695652,0.43593478260869567,0.4550869565217391,0.05416041919420553,0.06060706201901312,0.05292250430058851,0.05939410822306238,0.06906658270321359,0.05938499243856333,0.4362608695652174,0.4085652173913043,0.5351956521739131,0.062207215541165484,0.10947733580018487,0.024663737280296028,47,46,0.7995782011420838,0.7802173913043479,58.73118279569893,93,130
13,13.0,0.4995918367346939,0.5216938775510203,0.5096734693877552,0.4636530612244898,0.4485102040816327,0.4582448979591836,0.052196976259891704,0.05888384506455642,0.053570832153269465,0.056464757184506456,0.06319804581424407,0.05516912369845897,0.4361428571428571,0.40120408163265303,0.5425510204081633,0.06344897959183676,0.12048979591836723,0.032877551020408124,49,49,0.7770923687519059,0.7816326530612244,58.61224489795919,98,132
14,14.0,0.499625,0.5143571428571428,0.4885535714285715,0.4650000000000001,0.44480769230769235,0.4587692307692307,0.05181302008928572,0.05583722959183673,0.055429568558673474,0.054945692307692306,0.06277011686390531,0.05395179289940829,0.44819230769230767,0.4067884615384615,0.5339615384615384,0.05143269230769232,0.10756868131868136,0.0454079670329669,56,52,0.7620177093069211,0.7378846153846154,60.27777777777778,108,135
15,15.0,0.4932711864406779,0.5259491525423728,0.490271186440678,0.46498275862068966,0.43329310344827593,0.4579655172413793,0.052347553576558466,0.05561764148233266,0.053646672220626246,0.05210170659928657,0.059881034780023774,0.05321430915576694,0.4488965517241379,0.3949137931034482,0.5267758620689655,0.04437463471654002,0.13103535943892464,0.03650467562828752,59,58,0.7918323317813123,0.7487931034482758,60.58119658119658,117,129
16,16.0,0.4972698412698412,0.5133015873015874,0.48253968253968255,0.467327868852459,0.438655737704918,0.46455737704918026,0.05101207004283194,0.056530718568909046,0.05477716906021667,0.049993269551195915,0.062360192958882024,0.05209706638000537,0.4447377049180328,0.41086885245901644,0.525655737704918,0.05253213635180842,0.10243273484257093,0.04311605516523548,63,61,0.7721068898678876,0.7134426229508196,61.42741935483871,124,134
17,17.0,0.4954202898550724,0.5126231884057971,0.47802898550724643,0.467984375,0.441875,0.458625,0.04985633060281454,0.05455191598403697,0.052130984667086745,0.04937798413085938,0.060520734375,0.052054484375,0.46221875,0.4085625,0.51659375,0.033201539855072404,0.10406068840579713,0.038564764492753534,69,64,0.7387359301640489,0.7007812499999999,61.99248120300752,133,138
18,18.0,0.4944929577464788,0.511830985915493,0.48467605633802824,0.46828169014084514,0.44364788732394367,0.466549295774648,0.05004385558420948,0.05368343622297163,0.053313599285855995,0.0473589347351716,0.060597439396945035,0.05214182503471533,0.45204225352112676,0.40611267605633805,0.5257746478873239,0.04245070422535202,0.10571830985915498,0.04109859154929563,71,71,0.7342033881820359,0.7045070422535211,61.45070422535211,142,135
19,19.0,0.48905333333333334,0.5044399999999999,0.4701333333333333,0.47410666666666673,0.4433866666666667,0.46528,0.04953474382222222,0.05525381973333333,0.05439160888888889,0.046346495288888886,0.05988445048888889,0.051500361599999996,0.4566933333333333,0.41246666666666665,0.52564,0.032360000000000055,0.09197333333333324,0.055506666666666704,75,75,0.734714355593604,0.7003999999999999,62.16,150,133
20,20.0,0.48819512195121945,0.5047682926829268,0.4726463414634147,0.47074324324324324,0.4428783783783784,0.4620135135135135,0.047501181439619275,0.05206983655562165,0.052871984681737066,0.045705542184075965,0.05659864737034332,0.05332731062819576,0.44524324324324327,0.41124324324324324,0.5319594594594594,0.04295187870797618,0.09352504943968354,0.05931311799604472,82,74,0.7438918652481858,0.732162162162162,61.38461538461539,156,125
21,21.0,0.4876162790697674,0.5071511627906977,0.4762441860465117,0.4630909090909091,0.440935064935065,0.45688311688311695,0.04714560857220118,0.05067584924283396,0.05095767293131423,0.04545527744982291,0.05514013864058019,0.05267742789677855,0.4344675324675325,0.4068181818181818,0.5348181818181817,0.0531487466022349,0.10033298097251592,0.05857399577167005,86,77,0.7526697061131636,0.7045454545454545,61.7239263803681,163,126
