Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
0,0.0,0.48012,0.46956,0.37652,0.60116,0.56084,0.53184,0.08796506559999999,0.0796076864,0.0729658496,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.0744800000000001,0.01484000000000002,0.12307999999999997,25,25,0.85,0.85,53.72,50,30
1,1.0,0.4723846153846154,0.47161538461538455,0.37911538461538463,0.60116,0.56084,0.53184,0.08607769822485206,0.07665146745562129,0.07032787130177515,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.08221538461538469,0.01278461538461545,0.12048461538461536,26,25,0.8023624593130367,0.9820000000000002,55.450980392156865,51,28
2,2.0,0.4723846153846154,0.47161538461538455,0.37911538461538463,0.60116,0.56084,0.53184,0.08607769822485206,0.07665146745562129,0.07032787130177515,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.08221538461538469,0.01278461538461545,0.12048461538461536,26,25,0.739069895723829,1.042,56.450980392156865,51,32
3,3.0,0.4723846153846154,0.47161538461538455,0.37911538461538463,0.60116,0.56084,0.53184,0.08607769822485206,0.07665146745562129,0.07032787130177515,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.08221538461538469,0.01278461538461545,0.12048461538461536,26,25,0.7334696398269288,1.1420000000000001,57.450980392156865,51,31
4,4.0,0.49139285714285713,0.4828928571428571,0.3778928571428572,0.60116,0.56084,0.53184,0.08521138137755105,0.07368616709183674,0.06756166709183672,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.06320714285714296,0.0015071428571428735,0.12170714285714279,28,25,0.6723072850778841,1.106,58.0377358490566,53,37
5,5.0,0.49139285714285713,0.4828928571428571,0.3778928571428572,0.60116,0.56084,0.53184,0.08521138137755105,0.07368616709183674,0.06756166709183672,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.06320714285714296,0.0015071428571428735,0.12170714285714279,28,25,0.6618975176379623,1.186,59.0377358490566,53,37
6,6.0,0.4895,0.4984666666666666,0.37613333333333343,0.60116,0.56084,0.53184,0.08083204999999997,0.07240538222222223,0.06403704888888889,0.07426389439999999,0.05183805440000001,0.07526997440000001,0.5546000000000001,0.4844,0.4996,0.0651000000000001,0.014066666666666616,0.12346666666666656,30,25,0.6213885668515046,1.15,59.4,55,42
7,7.0,0.4862903225806452,0.5009032258064515,0.3905483870967743,0.5745925925925927,0.5585925925925926,0.5297037037037037,0.0785336253902185,0.07024782934443288,0.06820515088449532,0.0783190562414266,0.04807690809327848,0.07135213443072702,0.5785185185185185,0.46696296296296297,0.4903703703703704,0.09222819593787335,0.033940262843488556,0.0998219832735961,31,27,0.5843941384453616,1.0314814814814814,59.8448275862069,58,48
8,8.0,0.48209375,0.49784375000000003,0.39028125,0.5745925925925927,0.5585925925925926,0.5297037037037037,0.0766253974609375,0.0683427568359375,0.0660759521484375,0.0783190562414266,0.04807690809327848,0.07135213443072702,0.5785185185185185,0.46696296296296297,0.4903703703703704,0.09642476851851856,0.03088078703703706,0.10008912037037038,32,27,0.6036547922826995,1.0596296296296295,60.20338983050848,59,47
9,9.0,0.4885757575757576,0.4946969696969697,0.38939393939393946,0.5840714285714287,0.5544642857142857,0.5286071428571428,0.07564794123048668,0.06658863544536271,0.06409884481175389,0.07794785204081632,0.04682003443877552,0.06883630994897959,0.5862857142857143,0.4719285714285714,0.4892142857142857,0.09770995670995669,0.02276839826839827,0.09982034632034625,33,28,0.6004489711355111,1.0125,61.42622950819672,61,49
