Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
0,0.0,0.52964,0.49172,0.49323999999999996,0.5747200000000001,0.46812,0.5059600000000001,0.0649947104,0.10177652159999999,0.0950181024,0.0585831616,0.0742915456,0.06715307840000001,0.47139999999999993,0.52836,0.44571999999999995,0.05824000000000007,0.03664000000000006,0.04752000000000001,25,25,0.85,0.85,51.76,50,30
1,1.0,0.52964,0.49172,0.49323999999999996,0.5747200000000001,0.46812,0.5059600000000001,0.0649947104,0.10177652159999999,0.0950181024,0.0585831616,0.0742915456,0.06715307840000001,0.47139999999999993,0.52836,0.44571999999999995,0.05824000000000007,0.03664000000000006,0.04752000000000001,25,25,0.8253998009267517,0.97,52.76,50,30
2,2.0,0.52964,0.49172,0.49323999999999996,0.5747200000000001,0.46812,0.5059600000000001,0.0649947104,0.10177652159999999,0.0950181024,0.0585831616,0.0742915456,0.06715307840000001,0.47139999999999993,0.52836,0.44571999999999995,0.05824000000000007,0.03664000000000006,0.04752000000000001,25,25,0.7807996018535032,1.0099999999999998,53.76,50,35
3,3.0,0.5454615384615384,0.4931538461538461,0.4902692307692308,0.5747200000000001,0.46812,0.5059600000000001,0.06875294082840236,0.09791343786982247,0.09158419674556215,0.0585831616,0.0742915456,0.06715307840000001,0.47139999999999993,0.52836,0.44571999999999995,0.07406153846153851,0.03520615384615394,0.04454923076923084,26,25,0.7348071180579372,1.102,55.27450980392157,51,36
4,4.0,0.5454615384615384,0.4931538461538461,0.4902692307692308,0.5747200000000001,0.46812,0.5059600000000001,0.06875294082840236,0.09791343786982247,0.09158419674556215,0.0585831616,0.0742915456,0.06715307840000001,0.47139999999999993,0.52836,0.44571999999999995,0.07406153846153851,0.03520615384615394,0.04454923076923084,26,25,0.7092714623328441,1.2111999999999998,56.27450980392157,51,36
5,5.0,0.5457777777777778,0.49511111111111106,0.503,0.5778888888888889,0.4784074074074074,0.5168518518518519,0.06620913580246912,0.09438661728395063,0.09240607407407407,0.05478032098765431,0.07043401920438958,0.06734531138545953,0.496111111111111,0.5566296296296297,0.4259259259259259,0.0496666666666668,0.06151851851851864,0.07707407407407413,27,27,0.6732270730296863,1.1444444444444446,56.18518518518518,54,39
6,6.0,0.5510344827586207,0.48844827586206896,0.49803448275862067,0.5713214285714286,0.4857857142857143,0.5129285714285714,0.06346603329369797,0.08867390249702735,0.08709775743162901,0.05398843239795918,0.06938838265306123,0.06535570918367346,0.5067857142857142,0.5648928571428572,0.41303571428571423,0.044248768472906486,0.07644458128078824,0.08499876847290644,29,28,0.6453342445404815,1.1296428571428572,58.36842105263158,57,40
7,7.0,0.54321875,0.503625,0.505375,0.5713214285714286,0.4857857142857143,0.5129285714285714,0.0586891708984375,0.083278171875,0.084451296875,0.05398843239795918,0.06938838265306123,0.06535570918367346,0.5067857142857142,0.5648928571428572,0.41303571428571423,0.0364330357142858,0.06126785714285721,0.09233928571428579,32,28,0.6099683831576758,1.0703571428571428,58.916666666666664,60,46
8,8.0,0.54321875,0.503625,0.505375,0.5633666666666668,0.47559999999999997,0.5114333333333333,0.0586891708984375,0.083278171875,0.084451296875,0.051827165555555554,0.06621664000000001,0.06370997888888888,0.5029666666666666,0.5701666666666668,0.4325666666666666,0.04025208333333341,0.06654166666666683,0.07280833333333342,32,30,0.6183568479954753,1.0236666666666665,59.79032258064516,62,48
9,9.0,0.5509393939393938,0.5121515151515151,0.5031818181818182,0.5633666666666668,0.47559999999999997,0.5114333333333333,0.05881817814508724,0.08308103764921948,0.08204608815426997,0.051827165555555554,0.06621664000000001,0.06370997888888888,0.5029666666666666,0.5701666666666668,0.4325666666666666,0.04797272727272728,0.058015151515151686,0.07061515151515158,33,30,0.6077530306262061,1.0636666666666665,60.3968253968254,63,49
