Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
0,0.0,0.5456,0.44856,0.49099999999999994,0.52128,0.54008,0.57048,0.05995983999999999,0.05961808640000002,0.07135656,0.0761169216,0.09049959359999998,0.0662360096,0.46887999999999996,0.46596,0.5464,0.07672000000000001,0.01739999999999997,0.05540000000000006,25,25,0.85,0.85,53.48,50,30
1,1.0,0.5456,0.44856,0.49099999999999994,0.52128,0.54008,0.57048,0.05995983999999999,0.05961808640000002,0.07135656,0.0761169216,0.09049959359999998,0.0662360096,0.46887999999999996,0.46596,0.5464,0.07672000000000001,0.01739999999999997,0.05540000000000006,25,25,0.8221032528484329,0.91,54.48,50,33
2,2.0,0.5456,0.44856,0.49099999999999994,0.5168461538461538,0.5428846153846154,0.5704615384615385,0.05995983999999999,0.05961808640000002,0.07135656,0.0736808224852071,0.08721548668639055,0.06368847928994083,0.48046153846153844,0.45930769230769225,0.5586923076923077,0.06513846153846153,0.010747692307692236,0.06769230769230777,25,26,0.7882065056968658,0.9961538461538461,54.450980392156865,51,33
3,3.0,0.5456,0.44856,0.49099999999999994,0.5168461538461538,0.5428846153846154,0.5704615384615385,0.05995983999999999,0.05961808640000002,0.07135656,0.0736808224852071,0.08721548668639055,0.06368847928994083,0.48046153846153844,0.45930769230769225,0.5586923076923077,0.06513846153846153,0.010747692307692236,0.06769230769230777,25,26,0.7603097585452986,1.1492307692307693,55.450980392156865,51,31
4,4.0,0.5456,0.44856,0.49099999999999994,0.5120000000000001,0.54325,0.57625,0.05995983999999999,0.05961808640000002,0.07135656,0.06903435714285713,0.08194868749999999,0.059664901785714285,0.47917857142857134,0.4542142857142856,0.5827142857142856,0.06642142857142863,0.005654285714285612,0.09171428571428569,25,28,0.7204130113937315,1.1485714285714288,56.64150943396226,53,33
5,5.0,0.5456,0.44856,0.49099999999999994,0.5166551724137932,0.5486896551724139,0.5726896551724138,0.05995983999999999,0.05961808640000002,0.07135656,0.06726063971462545,0.0799513864447087,0.05796242092746729,0.4780344827586206,0.4471724137931034,0.5680344827586207,0.06756551724137938,0.0013875862068966072,0.07703448275862074,25,29,0.6865162642421645,1.0948275862068964,57.870370370370374,54,40
6,6.0,0.5459999999999999,0.45749999999999996,0.4961538461538461,0.5166551724137932,0.5486896551724139,0.5726896551724138,0.05765769230769231,0.05932317307692308,0.06927613017751479,0.06726063971462545,0.0799513864447087,0.05796242092746729,0.4780344827586206,0.4471724137931034,0.5680344827586207,0.06796551724137934,0.010327586206896555,0.07188063660477456,26,29,0.6602110741255746,1.0679310344827584,58.07272727272727,55,46
7,7.0,0.56088,0.45159999999999995,0.5158,0.5205483870967742,0.5446129032258065,0.5730645161290323,0.0542072256,0.06079104,0.06201192,0.06323418314255982,0.07864275338189387,0.05460251196670135,0.46867741935483864,0.46861290322580645,0.5591612903225807,0.0922025806451614,0.01701290322580651,0.043361290322580626,25,31,0.6815165417642138,1.0706451612903225,58.785714285714285,56,45
8,8.0,0.56088,0.45159999999999995,0.5158,0.5205483870967742,0.5446129032258065,0.5730645161290323,0.0542072256,0.06079104,0.06201192,0.06323418314255982,0.07864275338189387,0.05460251196670135,0.46867741935483864,0.46861290322580645,0.5591612903225807,0.0922025806451614,0.01701290322580651,0.043361290322580626,25,31,0.6930808476245792,1.0829032258064517,59.785714285714285,56,48
9,9.0,0.544,0.451,0.5496428571428572,0.5205483870967742,0.5446129032258065,0.5730645161290323,0.05244592857142857,0.05506442857142857,0.06644344387755102,0.06323418314255982,0.07864275338189387,0.05460251196670135,0.46867741935483864,0.46861290322580645,0.5591612903225807,0.0753225806451614,0.017612903225806442,0.009518433179723451,28,31,0.6862903156115578,1.043548387096774,61.28813559322034,59,51
10,10.0,0.5491333333333334,0.44466666666666665,0.5498333333333334,0.5205483870967742,0.5446129032258065,0.5730645161290323,0.04999851555555555,0.0553000888888889,0.06244640555555556,0.06323418314255982,0.07864275338189387,0.05460251196670135,0.46867741935483864,0.46861290322580645,0.5591612903225807,0.08045591397849472,0.0239462365591398,0.009327956989247266,30,31,0.6917229541884011,1.0751612903225807,61.31147540983606,61,50
11,11.0,0.5331874999999999,0.46643750000000006,0.56525,0.5205483870967742,0.5446129032258065,0.5730645161290323,0.04774533984375,0.05239812109375,0.05880000000000001,0.06323418314255982,0.07864275338189387,0.05460251196670135,0.46867741935483864,0.46861290322580645,0.5591612903225807,0.06451008064516128,0.0021754032258063938,0.006088709677419368,32,31,0.69322932838189,1.0154838709677418,61.3968253968254,63,54
12,12.0,0.5359393939393939,0.45521212121212123,0.5492424242424242,0.5393125000000001,0.53815625,0.57890625,0.04675926905417815,0.054930470156106526,0.05784994123048669,0.06690796484375,0.0774345068359375,0.0541251474609375,0.468375,0.4611875,0.5476875,0.06756439393939395,0.005975378787878738,0.001554924242424205,33,32,0.6746385880355126,0.8928125,60.87692307692308,65,60
13,13.0,0.536735294117647,0.44773529411764706,0.5368235294117647,0.541125,0.5588437500000001,0.5729375,0.04540490051903114,0.055159665224913494,0.06123802768166091,0.06738204687499999,0.0739796943359375,0.051074183593749996,0.48703124999999997,0.4700625,0.5489375,0.049704044117647006,0.02232720588235293,0.012113970588235268,34,32,0.7268392524574984,0.8903125,60.40909090909091,66,58
14,14.0,0.5302857142857142,0.4522,0.5402,0.5316764705882352,0.5588235294117648,0.577970588235294,0.04552191836734694,0.05426141714285715,0.05987598857142857,0.06682751297577856,0.07096032179930796,0.04858644031141869,0.49908823529411767,0.4812058823529412,0.5506470588235294,0.031197478991596583,0.029005882352941215,0.010447058823529365,35,34,0.7278188969306658,0.8073529411764706,60.869565217391305,69,62
