Step,Time,Mean_Male_Trait_1,Mean_Male_Trait_2,Mean_Male_Trait_3,Mean_Female_Trait_1,Mean_Female_Trait_2,Mean_Female_Trait_3,Var_Male_Trait_1,Var_Male_Trait_2,Var_Male_Trait_3,Var_Female_Trait_1,Var_Female_Trait_2,Var_Female_Trait_3,Mean_Female_Pref_1,Mean_Female_Pref_2,Mean_Female_Pref_3,Trait_Pref_Gap_1,Trait_Pref_Gap_2,Trait_Pref_Gap_3,Male_Count,Female_Count,Mean_Male_Energy,Mean_Female_Energy,Avg_Age,Population_Count,Total_Food
0,0.0,0.5647199999999999,0.5935199999999999,0.4957600000000001,0.52228,0.50464,0.53028,0.0728837216,0.053806409599999994,0.06961050239999998,0.10705692159999998,0.11909495040000001,0.09377588159999999,0.57656,0.50704,0.48564,0.011840000000000073,0.08647999999999989,0.010120000000000073,25,25,0.85,0.85,47.62,50,30
1,1.0,0.5647199999999999,0.5935199999999999,0.4957600000000001,0.52228,0.50464,0.53028,0.0728837216,0.053806409599999994,0.06961050239999998,0.10705692159999998,0.11909495040000001,0.09377588159999999,0.57656,0.50704,0.48564,0.011840000000000073,0.08647999999999989,0.010120000000000073,25,25,0.8299999999999998,0.91,48.62,50,34
2,2.0,0.5647199999999999,0.5935199999999999,0.4957600000000001,0.52228,0.50464,0.53028,0.0728837216,0.053806409599999994,0.06961050239999998,0.10705692159999998,0.11909495040000001,0.09377588159999999,0.57656,0.50704,0.48564,0.011840000000000073,0.08647999999999989,0.010120000000000073,25,25,0.8099999999999998,0.9499999999999998,49.62,50,39
3,3.0,0.5569629629629629,0.5726666666666667,0.48570370370370375,0.5055925925925925,0.5082592592592593,0.5168148148148147,0.06890559122085048,0.05945237037037037,0.06904746776406034,0.10330461179698218,0.11995700685871057,0.09142970644718791,0.5613333333333332,0.4831111111111111,0.47425925925925927,0.004370370370370358,0.08955555555555555,0.01144444444444448,27,27,0.7722222222222223,0.9870370370370372,48.72222222222222,54,38
4,4.0,0.5450666666666667,0.5798333333333333,0.49369999999999997,0.5072142857142856,0.5231785714285715,0.5156428571428571,0.06645219555555555,0.057059538888888886,0.06662541,0.09968616836734692,0.12168264668367348,0.08820144387755102,0.5657142857142856,0.497,0.4848928571428571,0.020647619047618915,0.08283333333333331,0.008807142857142847,30,28,0.7420000000000001,0.9164285714285713,49.48275862068966,58,43
5,5.0,0.5475000000000001,0.55634375,0.49853125,0.509758620689655,0.510551724137931,0.5127586206896552,0.06248775,0.06239472558593749,0.06285049902343749,0.09642997621878714,0.12195093697978596,0.08539294173602854,0.5724137931034482,0.5074137931034483,0.472448275862069,0.0249137931034481,0.048929956896551774,0.02608297413793098,32,29,0.7159374999999999,0.9775862068965517,50.59016393442623,61,42
6,6.0,0.5475000000000001,0.55634375,0.49853125,0.5030333333333332,0.5235000000000001,0.5169666666666666,0.06248775,0.06239472558593749,0.06285049902343749,0.0945272988888889,0.12274798333333334,0.08306003222222222,0.5707666666666665,0.5191333333333333,0.4688,0.023266666666666436,0.03721041666666669,0.029731249999999987,32,30,0.7224999999999999,1.0473333333333332,51.88709677419355,62,41
7,7.0,0.5504242424242425,0.5613636363636364,0.5048484848484849,0.5074838709677418,0.5282580645161291,0.515258064516129,0.06086782001836547,0.06131035261707989,0.06222297704315886,0.09207224973985433,0.11946754630593134,0.08046825598335068,0.571290322580645,0.5041290322580645,0.46667741935483875,0.020866080156402567,0.05723460410557191,0.03817106549364613,33,31,0.6978787878787879,0.9925806451612902,53.171875,64,48
8,8.0,0.5532352941176472,0.5722941176470588,0.5117352941176471,0.5074838709677418,0.5282580645161291,0.515258064516129,0.05933835640138409,0.06344979584775087,0.061958018166089965,0.09207224973985433,0.11946754630593134,0.08046825598335068,0.571290322580645,0.5041290322580645,0.46667741935483875,0.01805502846299789,0.06816508538899435,0.045057874762808314,34,31,0.6785294117647058,1.0306451612903225,53.46153846153846,65,51
9,9.0,0.5598857142857144,0.559457142857143,0.5164285714285715,0.50625,0.52209375,0.5006875000000001,0.05914672979591838,0.06723973387755103,0.06093670204081633,0.089903125,0.11341977246093751,0.08472021484374999,0.5636875,0.5011874999999999,0.4420625,0.003801785714285577,0.05826964285714309,0.07436607142857143,35,32,0.7225714285714284,0.9362499999999999,52.35820895522388,67,54
